dataset,segment_id,model,n_frames,n_iters,delta_FR,delta_IMU,duration_s,mean_err_deg_s,median_err_deg_s,mean_dir_err_deg,mean_beta
boxes_rotation,seg_A,cook,25,75,0.1,0.0,0.5,20.46105617379305,18.56816725842305,7.719948997141923,1.2459249597642323
boxes_rotation,seg_A,cook,25,75,0.2,0.0,0.5,20.81814930054603,19.13113226178772,7.691682969197254,1.2541895673681664
boxes_rotation,seg_A,cook,25,75,0.3,0.0,0.5,20.93710148391361,19.319346776871765,7.680725977846045,1.2569891143935625
boxes_rotation,seg_A,cook,25,75,0.5,0.0,0.5,21.031511869499674,19.43447251486558,7.672109298955762,1.2592093714691888
boxes_rotation,seg_A,cook,25,100,0.1,0.0,0.5,21.234192778483,19.601715088679065,7.6662396733683025,1.26410080329229
boxes_rotation,seg_A,cook,25,100,0.2,0.0,0.5,21.545534110152474,19.70924260956449,7.636330656272066,1.2713959164168305
boxes_rotation,seg_A,cook,25,100,0.3,0.0,0.5,21.654681427150862,19.744748164325273,7.625616306329607,1.2739500293868884
boxes_rotation,seg_A,cook,25,100,0.5,0.0,0.5,21.73209499230924,19.743279719625594,7.617040534596575,1.2757692471647026
boxes_rotation,seg_A,cook,50,75,0.1,0.0,1.0,40.769331904375896,21.22566053226653,40.11362938697652,1.0429597730966556
boxes_rotation,seg_A,cook,50,75,0.2,0.0,1.0,40.90852701390187,21.343746875117738,40.11010443089503,1.0482064308983166
boxes_rotation,seg_A,cook,50,75,0.3,0.0,1.0,40.956024089093965,21.388359654454057,40.10896698952356,1.050137856629915
boxes_rotation,seg_A,cook,50,75,0.5,0.0,1.0,40.995650867242055,21.42547803205067,40.10792755720107,1.051635959933378
boxes_rotation,seg_A,cook,50,100,0.1,0.0,1.0,41.04804197708129,21.417307700569893,40.107155217731986,1.0553407802942372
boxes_rotation,seg_A,cook,50,100,0.2,0.0,1.0,41.18509711058148,21.633389614030808,40.104867504166776,1.0598552476330556
boxes_rotation,seg_A,cook,50,100,0.3,0.0,1.0,41.23015745500156,21.70855072678916,40.10418301106049,1.0613359785037502
boxes_rotation,seg_A,cook,50,100,0.5,0.0,1.0,41.2677199604589,21.769457593388978,40.10384060329662,1.06248650837863
boxes_rotation,seg_A,cook,150,75,0.1,0.0,3.0,73.27266636258804,63.505268561601056,79.29002087017854,0.867599985198552
boxes_rotation,seg_A,cook,150,75,0.2,0.0,3.0,73.3362138358796,63.457427235543165,79.31503102493757,0.8692204134282538
boxes_rotation,seg_A,cook,150,75,0.3,0.0,3.0,73.3610444748375,63.43942984111422,79.324414446876,0.8697038597759509
boxes_rotation,seg_A,cook,150,75,0.5,0.0,3.0,73.38265209987391,63.422304098330024,79.33293844348178,0.8701097017392647
boxes_rotation,seg_A,cook,150,100,0.1,0.0,3.0,73.28305046176926,63.1957779756164,79.31303588858097,0.8728684135587021
boxes_rotation,seg_A,cook,150,100,0.2,0.0,3.0,73.36291849852337,63.155594698646986,79.33991166963523,0.8739860121966766
boxes_rotation,seg_A,cook,150,100,0.3,0.0,3.0,73.38856865325577,63.165921913942086,79.3509777900977,0.8744066427638855
boxes_rotation,seg_A,cook,150,100,0.5,0.0,3.0,73.4291113019353,63.208394732788534,79.35943465530264,0.8742594832218632
boxes_rotation,seg_A,thesis,25,75,0.1,0.0,0.5,33.461590390232494,32.304357156487804,6.985365755816108,1.5999981975930964
boxes_rotation,seg_A,thesis,25,75,0.2,0.0,0.5,33.97596674782992,33.17379277563435,6.9671749664744205,1.615600596921174
boxes_rotation,seg_A,thesis,25,75,0.3,0.0,0.5,34.14695684627534,33.46728756166471,6.9585153244247895,1.620887408847729
boxes_rotation,seg_A,thesis,25,75,0.5,0.0,0.5,34.28600845900385,33.706234253389844,6.9490951832223695,1.6252479133139823
boxes_rotation,seg_A,thesis,25,100,0.1,0.0,0.5,34.16205690949144,33.51274236422515,6.931141396611837,1.6219017316776145
boxes_rotation,seg_A,thesis,25,100,0.2,0.0,0.5,34.57325659730857,34.25929121195001,6.908388016703843,1.6347622550667353
boxes_rotation,seg_A,thesis,25,100,0.3,0.0,0.5,34.70619077136243,34.495241667443246,6.897647547352358,1.6389981145126375
boxes_rotation,seg_A,thesis,25,100,0.5,0.0,0.5,34.811591868834995,34.72289568772913,6.886434654613675,1.6424106160649539
boxes_rotation,seg_A,thesis,50,75,0.1,0.0,1.0,44.60417200440283,32.99552447549285,39.97193428513619,1.3347420433633608
boxes_rotation,seg_A,thesis,50,75,0.2,0.0,1.0,44.87113343220285,33.46335925549293,39.98740316583826,1.3434644517198233
boxes_rotation,seg_A,thesis,50,75,0.3,0.0,1.0,44.96329163719902,33.616729329126606,39.99351321798225,1.3462420279734957
boxes_rotation,seg_A,thesis,50,75,0.5,0.0,1.0,45.03747948471002,33.744328351194994,39.99905754992664,1.3485963014062181
boxes_rotation,seg_A,thesis,50,100,0.1,0.0,1.0,44.949328765727415,33.681577768489774,39.97587321324194,1.347800528531701
boxes_rotation,seg_A,thesis,50,100,0.2,0.0,1.0,45.17650454121207,34.261138724047896,39.99387415948559,1.3542423018307275
boxes_rotation,seg_A,thesis,50,100,0.3,0.0,1.0,45.25287926596766,34.5060971384836,40.00087677660715,1.3562099342913803
boxes_rotation,seg_A,thesis,50,100,0.5,0.0,1.0,45.314663808647154,34.72483337358297,40.00696046242611,1.3577349531627416
boxes_rotation,seg_A,thesis,150,75,0.1,0.0,3.0,67.8499483116768,50.535689543593364,79.67802328168644,1.0969954629276246
boxes_rotation,seg_A,thesis,150,75,0.2,0.0,3.0,68.02477422359094,50.64279317404234,79.73277199752212,1.0977313516716658
boxes_rotation,seg_A,thesis,150,75,0.3,0.0,3.0,68.0968676755298,50.698729637751455,79.75635545246944,1.0976001135442368
boxes_rotation,seg_A,thesis,150,75,0.5,0.0,3.0,68.15745657137919,50.744491032014835,79.7795631924885,1.0974901422577288
boxes_rotation,seg_A,thesis,150,100,0.1,0.0,3.0,67.95217190863683,50.447418467381475,79.70317446496833,1.10112919795929
boxes_rotation,seg_A,thesis,150,100,0.2,0.0,3.0,68.13441108336094,50.585074827577216,79.76237462913164,1.1004188478591166
boxes_rotation,seg_A,thesis,150,100,0.3,0.0,3.0,68.20629237199842,50.64790608746364,79.7872384946259,1.0998337937071787
boxes_rotation,seg_A,thesis,150,100,0.5,0.0,3.0,68.27135662109387,50.706930100274086,79.81190676716128,1.0991971407917973
boxes_rotation,seg_A,thesis_imu,25,75,0.1,0.1,0.5,7.649976756818882,7.4304380694473755,0.43895582274604145,1.095548125193525
boxes_rotation,seg_A,thesis_imu,25,75,0.1,0.2,0.5,4.73688418385315,4.524870792952202,0.1969533982470507,1.0570266964517985
boxes_rotation,seg_A,thesis_imu,25,75,0.1,0.3,0.5,3.439954295740315,3.2714959105513306,0.12848620965153507,1.0407252711222754
boxes_rotation,seg_A,thesis_imu,25,75,0.1,0.5,0.5,2.2254857953177636,2.136098821640528,0.07703711027719375,1.0259357332258516
