sequence,segment,source,dt_ms,n_frames,err,median,dir,beta,secs
boxes_rotation,seg_B,cmax,20,75,8.41,5.72,8.31,0.919,155
boxes_rotation,seg_B,gyro,20,75,6.25,6.06,6.94,1.002,155
poster_rotation,seg_C,cmax,20,75,13.86,12.09,6.87,0.836,227
poster_rotation,seg_C,gyro,20,75,8.78,8.55,6.02,0.98,227
dynamic_rotation,seg_D,cmax,20,75,10.96,10.4,12.56,0.835,82
dynamic_rotation,seg_D,gyro,20,75,7.23,6.49,9.73,0.973,82
bycicle_sinthetic,seg_A,cmax,20,75,2.1,1.85,1.47,1.007,362
bycicle_sinthetic,seg_A,gyro,20,75,0.11,0.07,0.07,1.0,362
street_sinthetic,seg_A,cmax,20,75,1.97,1.84,1.49,1.007,1614
street_sinthetic,seg_A,gyro,20,75,0.11,0.07,0.06,1.0,1614
