sequence,duration_s,omega_mean,rel_std,sign_flips
boxes,0.5,1.0364,0.2161,0
boxes,1.0,0.8642,0.3936,1
boxes,1.5,0.772,0.4363,2
boxes,2.0,0.6773,0.5495,4
boxes,3.0,0.8787,0.5914,14
poster,0.5,1.0692,0.1076,0
poster,1.0,0.8705,0.3469,1
poster,1.5,0.986,0.3409,1
poster,2.0,0.938,0.4082,2
poster,3.0,0.9062,0.4614,14
dynamic,0.5,0.9377,0.1842,0
dynamic,1.0,0.7997,0.3144,1
dynamic,1.5,0.7274,0.4034,1
dynamic,2.0,0.76,0.4169,2
dynamic,3.0,0.7386,0.4666,3
bicycle,0.5,1.2171,0.03,0
bicycle,1.0,1.2552,0.0514,0
bicycle,1.5,1.3193,0.1099,0
bicycle,2.0,1.3519,0.1197,1
bicycle,3.0,1.3196,0.1096,1
street,0.5,1.2171,0.03,0
street,1.0,1.2552,0.0514,0
street,1.5,1.3193,0.1099,0
street,2.0,1.3519,0.1197,1
street,3.0,1.3196,0.1096,1
